,total_cup_points,species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,altitude_mean_meters,moisture
1042,80.75,Arabica,Panama,Caturra,7.25,7.17,7.33,7.33,7.17,10.0,1680.0,0.11
1043,80.75,Arabica,Honduras,Catuai,7.42,7.08,7.42,7.25,7.25,10.0,1350.0,0.09
1044,80.75,Arabica,Honduras,Catuai,7.25,7.08,7.5,7.25,7.33,10.0,1450.0,0.13
1045,80.75,Arabica,Costa Rica,Caturra,7.33,7.25,7.25,7.17,7.17,10.0,1300.0,0.11
1046,80.75,Arabica,Mexico,Typica,7.58,7.42,7.25,7.5,7.5,10.0,1200.0,0.11
1047,80.75,Arabica,Haiti,Typica,7.42,7.42,7.25,7.08,7.33,10.0,1000.0,0.12
1050,80.67,Arabica,Indonesia,Mandheling,7.58,7.0,7.67,7.5,7.5,10.0,1350.0,0.13
1051,80.67,Arabica,Guatemala,Bourbon,7.67,6.83,7.17,7.42,7.17,10.0,1500.0,0.11
1052,80.67,Arabica,Costa Rica,Caturra,7.83,7.67,7.67,7.83,7.5,10.0,185.0,0.11
1053,80.67,Arabica,Malawi,Caturra,7.5,7.17,7.17,7.25,7.17,10.0,995.0,0.12
1054,80.67,Arabica,Mexico,Typica,7.25,7.17,7.25,7.17,7.42,10.0,1200.0,0.12
1055,80.67,Arabica,Colombia,Caturra,7.67,7.42,7.67,7.5,7.75,6.67,1550.0,0.0
1056,80.67,Arabica,Guatemala,Bourbon,7.67,7.0,7.5,7.0,7.0,10.0,1550.0,0.12
1062,80.58,Arabica,"Tanzania, United Republic Of",Other,7.25,7.08,7.33,7.33,7.25,10.0,1400.0,0.12
1063,80.58,Arabica,Brazil,Bourbon,7.42,7.33,7.0,7.08,7.25,10.0,1200.0,0.0
1064,80.58,Arabica,Honduras,Caturra,7.5,7.0,7.42,7.33,7.0,10.0,1400.0,0.11
1065,80.58,Arabica,Guatemala,Bourbon,7.17,6.83,7.5,7.17,7.25,10.0,1383.792,0.11
1068,80.5,Arabica,Taiwan,Other,7.17,7.17,7.42,7.17,7.25,10.0,50.0,0.0
1069,80.5,Arabica,Guatemala,Caturra,7.33,7.08,7.17,7.25,7.17,10.0,1500.0,0.1
1070,80.5,Arabica,Honduras,Catuai,7.58,7.0,7.17,7.33,7.08,10.0,1650.0,0.11
1072,80.5,Arabica,Brazil,Yellow Bourbon,7.25,7.17,7.5,7.33,7.25,10.0,1250.0,0.11
1073,80.5,Arabica,Myanmar,Other,7.17,7.17,7.42,7.25,7.08,10.0,3800.0,0.0
1074,80.5,Arabica,Guatemala,Other,7.5,6.83,7.5,7.17,7.17,10.0,1219.2,0.11
1075,80.5,Arabica,Brazil,Yellow Bourbon,7.42,7.08,7.33,7.67,7.5,10.0,1250.0,0.1
1077,80.5,Arabica,Guatemala,Bourbon,7.5,7.0,7.67,7.17,7.0,10.0,1859.28,0.12
1078,80.5,Arabica,Mexico,Typica,7.25,7.08,7.33,7.25,7.17,10.0,1450.0,0.15
1080,80.42,Arabica,Taiwan,Typica,7.58,7.17,7.17,7.17,7.17,10.0,600.0,0.14
1081,80.42,Arabica,El Salvador,Bourbon,7.33,7.08,7.08,7.33,7.17,10.0,1450.0,0.0
1082,80.42,Arabica,China,Other,7.25,7.25,7.17,7.33,7.17,10.0,1700.0,0.17
1083,80.42,Arabica,Taiwan,Typica,7.25,7.17,7.25,7.25,7.25,10.0,600.0,0.11
1084,80.42,Arabica,Mexico,Typica,6.92,7.08,7.5,7.33,7.17,10.0,1050.0,0.1
1085,80.42,Arabica,Mexico,Caturra,7.42,7.08,7.33,7.25,7.17,10.0,1550.0,0.12
1087,80.33,Arabica,"Tanzania, United Republic Of",Bourbon,7.25,7.0,7.25,7.42,7.08,10.0,1700.0,0.13
1089,80.33,Arabica,Taiwan,Yellow Bourbon,7.25,7.08,7.25,7.25,7.25,10.0,600.0,0.11
1090,80.33,Arabica,Guatemala,Bourbon,7.33,6.83,7.5,7.0,7.17,10.0,1310.64,0.11
1091,80.33,Arabica,Mexico,Typica,7.25,7.08,7.33,7.33,7.17,10.0,940.0,0.11
1094,80.25,Arabica,Brazil,Catuai,7.17,7.42,7.08,7.0,7.0,10.0,995.0,0.11
1095,80.25,Arabica,Honduras,Caturra,7.25,7.0,7.0,7.42,7.0,10.0,1400.0,0.1
1096,80.25,Arabica,Mexico,Caturra,7.25,7.0,7.33,7.33,7.0,10.0,1600.0,0.1
1097,80.25,Arabica,Myanmar,Other,8.0,7.0,7.33,7.08,6.92,10.0,914.4,0.11
1098,80.25,Arabica,Myanmar,Catuai,7.42,7.08,7.0,7.17,7.33,10.0,4287.0,0.0
1099,80.25,Arabica,Nicaragua,Caturra,7.08,7.0,7.25,7.5,7.25,10.0,900.0,0.11
1102,80.25,Arabica,Taiwan,Typica,7.25,7.25,7.25,7.17,7.25,10.0,700.0,0.11
1103,80.25,Arabica,Guatemala,Caturra,7.0,7.33,7.33,7.0,7.17,10.0,1400.0,0.11
1104,80.25,Arabica,Mexico,Caturra,7.58,7.17,7.25,6.75,7.0,10.0,808.0,0.11
1105,80.17,Arabica,Vietnam,Catimor,7.42,7.25,7.58,7.42,7.33,10.0,1550.0,0.0
1106,80.17,Arabica,Nicaragua,Caturra,7.17,7.08,7.33,7.25,7.08,10.0,1187.5,0.11
1107,80.17,Arabica,Honduras,Catuai,7.25,7.0,7.17,7.08,7.08,10.0,1400.0,0.11
1108,80.17,Arabica,Guatemala,Bourbon,7.33,7.0,7.17,7.17,7.17,10.0,1310.64,0.11
1109,80.17,Arabica,Mexico,Typica,7.33,6.92,7.42,7.25,7.08,10.0,1250.0,0.11
1110,80.17,Arabica,Mexico,Typica,7.58,7.33,7.5,7.08,7.17,10.0,1550.0,0.14
1111,80.17,Arabica,Mexico,Bourbon,7.33,7.17,7.08,7.25,7.0,10.0,1000.0,0.12
1112,80.17,Arabica,Guatemala,Bourbon,7.33,7.0,7.33,7.0,7.0,10.0,1310.64,0.11
1114,80.08,Arabica,Brazil,Bourbon,7.17,7.0,7.17,7.25,7.25,10.0,1100.0,0.11
1115,80.08,Arabica,Taiwan,Typica,7.42,7.25,7.17,7.0,7.0,10.0,850.0,0.07
1117,80.08,Arabica,Taiwan,Typica,7.25,7.25,7.25,7.08,7.0,10.0,200.0,0.11
1118,80.08,Arabica,Taiwan,Typica,7.25,7.25,7.0,7.25,7.08,10.0,150.0,0.11
1119,80.08,Arabica,Taiwan,Typica,7.25,7.25,7.08,7.17,7.08,10.0,250.0,0.11
1120,80.08,Arabica,Mexico,Typica,7.33,7.25,7.08,7.08,7.08,10.0,1300.0,0.15
1121,80.08,Arabica,Mexico,Typica,7.25,7.0,7.17,7.33,7.17,10.0,1300.0,0.14
1122,80.0,Arabica,Nicaragua,Caturra,7.33,6.92,7.08,7.42,7.17,10.0,1250.0,0.1
1123,80.0,Arabica,Myanmar,Other,7.17,7.0,7.42,7.17,7.0,10.0,3845.0,0.0
1124,80.0,Arabica,Mexico,Typica,7.58,7.42,7.5,7.5,7.5,10.0,1400.0,0.0
1125,80.0,Arabica,Taiwan,Typica,7.25,7.25,7.0,7.25,7.0,10.0,250.0,0.11
1127,80.0,Arabica,Mexico,Typica,7.25,7.08,7.17,7.33,7.33,10.0,1250.0,0.12
1128,80.0,Arabica,Mexico,Other,7.08,7.0,7.33,7.08,7.0,10.0,1100.0,0.11
1132,79.92,Arabica,Mexico,Bourbon,7.33,7.08,7.33,7.42,7.17,10.0,1300.0,0.12
1133,79.92,Arabica,Mexico,Other,7.17,6.92,7.25,7.33,7.08,10.0,1100.0,0.12
1134,79.92,Arabica,Mexico,Bourbon,7.5,7.0,7.17,7.25,7.08,10.0,1100.0,0.0
1135,79.92,Arabica,Mexico,Catuai,7.17,7.08,7.08,7.5,7.33,10.0,1100.0,0.11
1136,79.92,Arabica,Mexico,Typica,7.33,7.0,7.42,7.17,7.17,10.0,1250.0,0.12
1137,79.92,Arabica,Mexico,Mundo Novo,7.17,7.08,7.58,7.33,7.08,10.0,1250.0,0.11
1139,79.83,Arabica,Kenya,SL34,7.0,7.0,7.17,7.25,7.25,10.0,1500.0,0.11
1140,79.83,Arabica,Guatemala,Bourbon,7.33,6.92,7.33,7.25,7.33,10.0,1700.0,0.1
1141,79.83,Arabica,Nicaragua,Caturra,6.83,7.17,6.92,7.5,7.08,10.0,1250.0,0.11
1142,79.83,Arabica,Mexico,Typica,7.17,7.0,7.25,7.5,7.0,10.0,1300.0,0.12
1144,79.75,Arabica,Guatemala,Bourbon,7.5,7.25,7.58,7.33,7.42,9.33,190164.0,0.1
1145,79.75,Arabica,Taiwan,Typica,7.75,7.17,7.33,7.67,7.83,8.67,1000.0,0.0
1146,79.75,Arabica,Taiwan,Typica,7.08,7.25,7.0,7.17,7.17,10.0,600.0,0.1
1149,79.75,Arabica,Costa Rica,Catuai,7.58,7.67,7.75,7.67,7.58,10.0,1100.0,0.1
1150,79.75,Arabica,Mexico,Typica,7.58,7.0,7.0,7.5,6.92,10.0,1400.0,0.12
1151,79.75,Arabica,Mexico,Bourbon,7.58,6.92,7.58,7.5,6.92,10.0,1022.0,0.13
1152,79.75,Arabica,Mexico,Bourbon,7.25,7.0,7.17,7.17,7.08,10.0,1300.0,0.12
1153,79.75,Arabica,Mexico,Bourbon,7.25,7.17,7.08,7.17,7.0,10.0,1450.0,0.14
1154,79.75,Arabica,Mexico,Typica,7.33,7.0,7.08,7.08,7.0,10.0,1050.0,0.1
1156,79.75,Arabica,Mexico,Typica,7.25,6.92,7.08,7.25,7.08,10.0,1100.0,0.12
1157,79.67,Arabica,Guatemala,Bourbon,7.42,7.25,7.58,7.42,7.33,9.33,1219.2,0.1
1158,79.67,Arabica,El Salvador,Bourbon,7.25,7.0,6.83,7.33,7.17,10.0,1250.0,0.0
1160,79.67,Arabica,Guatemala,Bourbon,7.5,6.83,7.08,7.08,7.17,10.0,1310.64,0.11
1161,79.67,Arabica,Mexico,Typica,7.42,6.83,7.58,7.17,6.58,10.0,1400.0,0.12
1162,79.67,Arabica,Mexico,Caturra,7.33,7.0,6.75,7.08,7.0,10.0,975.0,0.13
1163,79.67,Arabica,Mexico,Mundo Novo,6.92,7.17,7.17,7.08,7.08,10.0,1264.0,0.0
1165,79.58,Arabica,Mexico,Typica,7.08,6.92,7.33,7.25,7.08,10.0,1250.0,0.12
1166,79.58,Arabica,Mexico,Caturra,7.25,6.92,7.33,7.25,7.0,10.0,1550.0,0.13
1169,79.5,Arabica,Nicaragua,Caturra,6.92,7.0,7.42,7.25,7.0,10.0,1050.0,0.12
1170,79.5,Arabica,Taiwan,Typica,6.92,7.17,7.0,7.42,7.0,10.0,700.0,0.0
1171,79.5,Arabica,Colombia,Caturra,7.83,7.42,7.42,7.67,7.5,10.0,1550.0,0.0
1172,79.5,Arabica,Mexico,Caturra,7.25,6.92,7.25,7.58,7.08,10.0,1550.0,0.12
1173,79.5,Arabica,Mexico,Typica,7.25,7.0,7.25,7.17,7.17,10.0,1100.0,0.12
1174,79.42,Arabica,Guatemala,Bourbon,7.08,7.25,7.58,7.33,7.42,9.33,1219.2,0.1
1175,79.42,Arabica,Guatemala,Other,7.25,6.83,7.0,7.0,7.17,10.0,1219.2,0.1
1176,79.42,Arabica,Mexico,Typica,7.0,6.83,7.42,7.33,7.17,10.0,800.0,0.13
1178,79.33,Arabica,Colombia,Caturra,7.42,6.75,7.25,7.42,7.25,10.0,1200.0,0.0
1179,79.33,Arabica,Mexico,Typica,7.0,6.83,7.33,7.42,6.92,10.0,950.0,0.14
1180,79.33,Arabica,Mexico,Typica,7.42,7.08,7.17,7.08,7.08,10.0,750.0,0.14
1182,79.25,Arabica,Taiwan,Typica,7.08,6.83,7.25,7.42,7.08,10.0,850.0,0.11
1183,79.25,Arabica,Mexico,Bourbon,7.0,6.92,7.17,7.17,7.08,10.0,1000.0,0.13
1184,79.17,Arabica,Guatemala,Bourbon,7.33,7.33,7.42,7.5,7.42,9.33,1219.2,0.1
1185,79.17,Arabica,Honduras,Catuai,7.58,6.75,6.92,7.0,6.92,10.0,1650.0,0.11
1186,79.17,Arabica,Guatemala,Bourbon,7.08,6.92,7.42,7.0,6.92,10.0,1320.0,0.11
1187,79.17,Arabica,Guatemala,Catuai,7.25,6.75,7.25,7.0,6.92,10.0,1550.0,0.11
1189,79.17,Arabica,Mexico,Typica,7.25,6.92,7.08,7.17,7.17,10.0,1550.0,0.14
1190,79.17,Arabica,Mexico,Typica,7.17,6.92,7.08,7.17,7.0,10.0,1450.0,0.14
1191,79.17,Arabica,Mexico,Typica,6.75,6.83,7.25,7.58,7.08,10.0,1200.0,0.01
1192,79.08,Arabica,Guatemala,Bourbon,7.58,7.42,7.42,7.67,7.67,8.67,1700.0,0.1
1193,79.08,Arabica,United States (Puerto Rico),Other,7.42,6.75,7.33,7.33,6.92,10.0,853.44,0.13
1194,79.08,Arabica,Mexico,Typica,7.33,6.92,7.25,7.33,7.08,10.0,1500.0,0.16
1195,79.08,Arabica,Mexico,Mundo Novo,7.25,6.75,7.33,7.42,7.0,10.0,1100.0,0.11
1196,79.08,Arabica,Mexico,Typica,7.17,7.25,7.17,7.25,7.08,10.0,1200.0,0.1
1198,79.0,Arabica,Guatemala,Other,7.33,6.58,7.42,7.08,6.83,10.0,1219.2,0.12
1199,79.0,Arabica,Honduras,Pacas,7.0,7.0,7.0,7.0,7.0,10.0,1350.0,0.11
1200,79.0,Arabica,Peru,Typica,7.67,7.08,7.25,8.0,7.5,9.33,1400.0,0.0
1201,79.0,Arabica,Mexico,Mundo Novo,6.75,6.67,7.25,7.17,7.08,10.0,1300.0,0.12
1202,79.0,Arabica,Mexico,Typica,7.5,6.92,7.5,7.25,7.0,10.0,1550.0,0.14
1203,79.0,Arabica,Mexico,Typica,7.17,6.83,7.25,7.17,6.92,10.0,12.0,0.14
1204,78.92,Arabica,Mexico,Typica,7.33,6.75,7.08,7.17,7.25,10.0,1300.0,0.12
1205,78.92,Arabica,Mexico,Typica,7.5,6.92,7.08,6.92,6.75,10.0,1400.0,0.16
1206,78.83,Arabica,Nicaragua,Caturra,7.17,6.92,7.0,7.0,7.0,10.0,1100.0,0.1
1208,78.75,Arabica,Guatemala,Bourbon,7.33,6.33,7.25,7.0,7.0,10.0,1310.64,0.12
1209,78.75,Arabica,Mexico,Typica,7.25,6.83,7.0,7.17,7.0,10.0,1320.0,0.14
1210,78.75,Arabica,Mexico,Typica,7.25,7.17,7.25,7.08,7.0,10.0,1250.0,0.14
1211,78.75,Arabica,Mexico,Bourbon,7.67,6.83,7.33,7.58,7.17,8.67,1350.0,0.12
1212,78.67,Arabica,China,Typica,7.0,6.83,7.17,7.17,7.17,9.33,1850.0,0.0
1213,78.67,Arabica,Mexico,Caturra,6.92,6.67,7.25,7.17,6.92,10.0,1150.0,0.13
1216,78.58,Arabica,Guatemala,Other,7.33,6.92,7.58,7.25,7.17,10.0,1219.2,0.12
1217,78.58,Arabica,Taiwan,Typica,6.83,7.17,7.25,7.0,6.92,10.0,800.0,0.1
1218,78.58,Arabica,Mexico,Typica,7.0,6.75,7.33,6.92,6.92,10.0,1400.0,0.13
1219,78.58,Arabica,Mexico,Typica,7.92,7.58,7.92,7.92,7.5,10.0,1300.0,0.1
1221,78.5,Arabica,Mexico,Bourbon,7.25,6.92,6.92,7.25,7.58,10.0,1600.0,0.0
1222,78.5,Arabica,Mexico,Typica,7.08,6.83,7.0,7.0,6.92,10.0,1400.0,0.12
1223,78.5,Arabica,Mexico,Caturra,7.25,7.0,6.83,7.58,7.08,10.0,1200.0,0.13
1225,78.42,Arabica,Mexico,Typica,7.58,7.0,7.17,7.33,7.0,10.0,1500.0,0.14
1227,78.33,Arabica,Guatemala,Other,7.17,6.67,7.0,7.17,7.17,10.0,1219.2,0.1
1228,78.33,Arabica,Guatemala,Bourbon,7.17,6.5,7.17,7.0,6.83,10.0,1310.64,0.11
1229,78.33,Arabica,Mexico,Typica,7.25,7.0,7.5,7.33,7.42,10.0,1300.0,0.13
1233,78.17,Arabica,Indonesia,Java,6.92,6.92,6.92,6.92,6.83,10.0,1300.0,0.13
1234,78.08,Arabica,Mexico,Typica,7.08,6.67,7.25,7.25,6.92,10.0,1050.0,0.11
1235,78.0,Arabica,Taiwan,Yellow Bourbon,7.5,7.33,7.17,7.5,7.5,10.0,650.0,0.0
1236,78.0,Arabica,Honduras,Pacas,6.83,6.67,7.0,7.0,6.83,10.0,1350.0,0.11
1238,78.0,Arabica,Guatemala,Other,7.42,6.83,7.33,7.0,6.92,9.33,1219.2,0.1
1239,78.0,Arabica,China,Typica,7.33,6.92,7.08,7.33,7.0,9.33,1200.0,0.1
1240,78.0,Arabica,Guatemala,Bourbon,7.0,6.83,7.17,6.67,6.83,10.0,1310.64,0.11
1241,78.0,Arabica,Mexico,Other,7.25,7.0,7.0,7.25,7.08,8.0,850.0,0.12
1243,77.92,Arabica,Costa Rica,Caturra,7.5,7.42,7.0,7.08,6.83,10.0,1200.0,0.12
1244,77.92,Arabica,Mexico,Typica,7.42,7.0,7.0,7.25,7.08,10.0,1248.0,0.11
1248,77.83,Arabica,Guatemala,Bourbon,7.0,6.67,7.17,6.83,6.83,10.0,1310.64,0.11
1249,77.67,Arabica,Taiwan,Typica,7.17,6.58,7.33,7.33,7.17,10.0,775.0,0.11
1251,77.5,Arabica,Mexico,Typica,7.17,6.58,6.75,6.83,6.75,10.0,1300.0,0.13
1252,77.42,Arabica,Guatemala,Bourbon,7.08,6.33,7.0,6.92,7.0,10.0,1310.64,0.11
1253,77.33,Arabica,Brazil,Bourbon,7.5,7.42,7.58,7.58,6.92,10.0,890.0,0.0
1254,77.33,Arabica,Guatemala,Other,7.33,6.83,7.17,7.17,7.17,9.33,1219.2,0.1
1255,77.33,Arabica,Mexico,Typica,7.33,6.67,7.0,6.92,6.92,10.0,1500.0,0.15
1256,77.25,Arabica,Haiti,Typica,6.83,6.83,6.75,6.92,6.92,10.0,825.0,0.1
1258,77.17,Arabica,Mexico,Other,7.08,7.0,7.25,7.33,7.25,10.0,1200.0,0.12
1259,77.0,Arabica,Peru,Caturra,7.42,7.42,7.67,7.92,7.83,9.33,1200.0,0.0
1261,76.75,Arabica,Mexico,Typica,6.67,6.42,6.83,7.0,6.92,10.0,1200.0,0.0
1263,76.42,Arabica,Mexico,Typica,7.17,6.58,7.0,7.25,6.58,10.0,1100.0,0.13
1264,76.33,Arabica,Guatemala,Bourbon,7.5,6.83,7.5,7.17,7.33,8.67,1310.64,0.11
1268,76.17,Arabica,Mexico,Typica,7.42,6.83,7.08,6.92,6.83,10.0,1400.0,0.16
1269,76.17,Arabica,Indonesia,Other,7.33,6.5,6.08,7.58,6.33,9.33,3500.0,0.12
1270,76.08,Arabica,Mexico,Bourbon,7.08,6.83,7.17,7.17,7.08,10.0,1250.0,0.12
1271,76.0,Arabica,Honduras,Pacas,6.83,6.67,6.83,7.0,6.83,10.0,1350.0,0.11
1274,75.58,Arabica,Guatemala,Bourbon,7.92,7.17,7.58,7.33,7.17,8.0,1310.64,0.11
1276,75.5,Arabica,Mexico,Pacamara,7.5,6.92,7.0,7.17,6.83,10.0,1100.0,0.11
1277,75.17,Arabica,Mexico,Mundo Novo,7.17,6.67,6.83,7.25,7.75,10.0,1200.0,0.11
1278,75.17,Arabica,Mexico,Other,7.25,6.67,7.08,7.17,6.83,10.0,1100.0,0.12
1279,75.17,Arabica,Mexico,Typica,7.17,6.83,7.17,7.42,6.67,10.0,1280.0,0.13
1280,75.0,Arabica,Mexico,Typica,7.0,6.75,6.92,7.17,6.83,10.0,850.0,0.14
1281,74.92,Arabica,Mexico,Typica,7.08,6.58,7.0,7.0,6.75,10.0,1500.0,0.17
1282,74.83,Arabica,Mexico,Typica,7.33,6.67,7.25,7.5,7.0,10.0,1250.0,0.12
1285,74.67,Arabica,Mexico,Typica,7.08,6.83,7.5,7.33,6.83,10.0,1700.0,0.12
1287,74.33,Arabica,Guatemala,Bourbon,6.5,6.5,7.5,7.33,6.83,8.67,1310.64,0.11
1288,74.33,Arabica,Mexico,Typica,7.0,6.67,6.83,7.08,6.83,10.0,1140.0,0.14
1289,74.0,Arabica,Mexico,Typica,6.92,6.17,7.33,7.25,6.75,10.0,1200.0,0.13
1290,73.83,Arabica,Mexico,Typica,7.67,7.17,7.58,7.33,7.33,10.0,1250.0,0.12
1293,73.42,Arabica,Honduras,Pacas,7.0,6.83,7.17,7.0,7.17,8.0,1350.0,0.11
1294,72.92,Arabica,Mexico,Typica,7.08,6.92,7.08,6.92,6.92,8.0,1200.0,0.0
1298,71.75,Arabica,Costa Rica,Caturra,6.33,6.33,6.83,6.33,6.5,10.0,1200.0,0.11
1299,71.08,Arabica,Mexico,Mundo Novo,6.92,6.92,6.92,7.17,7.0,10.0,800.0,0.12
1300,71.0,Arabica,Mexico,Bourbon,6.5,6.42,7.17,7.33,6.5,10.0,1800.0,0.11
1301,70.75,Arabica,Mexico,Typica,6.92,6.83,6.92,7.42,6.92,10.0,1000.0,0.12
1303,69.33,Arabica,Honduras,Catuai,6.67,6.17,6.67,6.83,6.17,8.0,1450.0,0.1
1304,69.17,Arabica,Honduras,Catuai,7.0,6.17,6.67,6.5,6.17,8.0,1450.0,0.1
1305,69.17,Arabica,Honduras,Catuai,7.0,6.17,6.5,6.67,6.17,8.0,1450.0,0.1
1306,68.33,Arabica,Mexico,Bourbon,7.08,6.25,7.42,7.25,6.75,10.0,900.0,0.11
1307,67.92,Arabica,Haiti,Typica,6.75,6.42,6.67,7.08,6.67,6.0,350.0,0.14
1308,63.08,Arabica,Nicaragua,Caturra,7.25,6.33,6.25,6.42,6.08,6.0,1100.0,0.13
1309,59.83,Arabica,Guatemala,Catuai,7.5,6.67,7.67,7.33,6.67,1.33,1417.32,0.1
1310,0.0,Arabica,Honduras,Caturra,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.12
1319,82.5,Robusta,India,Other,7.67,7.58,7.83,7.83,8.0,7.92,1000.0,0.09
1322,81.58,Robusta,India,Other,7.67,7.75,7.5,7.75,7.58,7.75,1000.0,0.11
1333,79.33,Robusta,United States,Arusha,7.92,7.42,7.42,7.42,7.42,7.58,3000.0,0.0
